,,COUNTRY,DOB,HT/WT,NICKNAME,REACH,STANCE,TEAM,WEIGHT,WT CLASS
max-griffin,,USA,11/29/1985 (33),"5' 11"", 170 lbs",Pain,"76""",Orthodox,Marinoble's Martial Arts,,Welterweight
marvin-vettori,,Italy,9/20/1993 (26),"6' 0"", 185 lbs",The Italian Dream,"74""",Southpaw,Kings MMA,,Middleweight
felipe-silva,,Brazil,8/5/1984 (35),"6' 0"", 155 lbs",,"77""",Orthodox,CM System,,Lightweight
alessandro-ricci,,Canada,7/21/1982 (37),"5' 11"", 155 lbs",,"69""",Orthodox,,,Lightweight
jeremy-kennedy,,Canada,9/16/1992 (27),"5' 11"", 145 lbs",The Bandit,"71""",Orthodox,Xtreme Couture,,Featherweight
jim-wallhead,,England,3/14/1984 (35),"5' 10"", 170 lbs",Judo,"73""",Orthodox,Team Rough House,,Welterweight
jessin-ayari,,Germany,5/31/1992 (27),"6' 0"", 155 lbs",Abacus,"73.5""",Orthodox,Hammers Team,,Welterweight
veronica-macedo,,Venezuela,10/30/1995 (23),"5' 4"", 125 lbs",,"64""",Southpaw,MMA Factory,,Women's Flyweight
christian-colombo,,Denmark,7/1/1980 (39),"6' 5"", 260 lbs",,"80.5""",Orthodox,Combat Sports Academy,,Heavyweight
jack-hermansson,,Norway,6/10/1988 (31),"6' 1"", 185 lbs",The Joker,"77.5""",Orthodox,Frontline Academy,,Middleweight
cm-punk,,USA,10/26/1978 (40),"6' 1"", 170 lbs",,"73""",Orthodox,Roufusport,,Welterweight
michael-mcbride,,USA,3/9/1986 (33),"6' 1"", 155 lbs",,"75""",Orthodox,,,Lightweight
jason-gonzalez,,USA,2/28/1990 (29),"6' 2"", 155 lbs",Nicoya,"74""",Southpaw,Millennia MMA,,Lightweight
rick-glenn,,USA,4/12/1989 (30),"6' 0"", 145 lbs",The Gladiator,"70.5""",Southpaw,Team Alpha Male,,Featherweight
albert-morales,,USA,5/25/1991 (28),"5' 9"", 135 lbs",The Warrior,"72""",Orthodox,Systems Training Center,,Bantamweight
lina-lansberg,,Sweden,3/13/1982 (37),"5' 7"", 135 lbs",Elbow Queen,"65.5""",Orthodox,Redline Training Center,,Women's Bantamweight
gregor-gillespie,,USA,11/13/1986 (32),"5' 7"", 155 lbs",The Gift,"71""",Orthodox,Bellmore Kickboxing Academy,,Lightweight
zak-ottow,,USA,12/22/1986 (32),"5' 11"", 170 lbs",The Barbarian,"72""",Orthodox,Pura Vida BJJ,,Welterweight
brandon-moreno,,Mexico,12/7/1993 (25),"5' 7"", 125 lbs",The Assassin Baby,"70""",Orthodox,Entram Gym,,Flyweight
joachim-christensen,,Denmark,11/7/1978 (40),"6' 3"", 205 lbs",,"76""",Orthodox,,,Light Heavyweight
ketlen-vieira,,Brazil,8/26/1991 (28),"5' 8"", 135 lbs",Fenomeno,"68""",Orthodox,Nova Uniao,,Women's Bantamweight
marc-diakiese,,England,3/16/1993 (26),"5' 10"", 155 lbs",Bonecrusher,"73""",Orthodox,Atherton Submission Wrestling,,Lightweight
marcin-held,,Poland,1/18/1992 (27),"5' 9"", 155 lbs",,"71.5""",Orthodox,,,Lightweight
martin-bravo,,Mexico,9/21/1993 (26),"5' 8"", 145 lbs",El Toro,"71.5""",Southpaw,Entram Gym,,Featherweight
claudio-puelles,,Peru,4/21/1996 (23),"5' 11"", 155 lbs",El Nino,"72""",Southpaw,Pitbull Martial Arts Center,,Lightweight
alexa-grasso,,Mexico,8/9/1993 (26),"5' 5"", 115 lbs",,"66""",Orthodox,Lobo Gym MMA,,Women's Strawweight
alexander-volkov,,Russia,10/24/1988 (30),"6' 7"", 250 lbs",Drago,"80""",Orthodox,Strela Team,,Heavyweight
jack-marshman,,Wales,12/19/1989 (29),"6' 0"", 185 lbs",The Hammer,"73""",Orthodox,Tillery Combat MMA Academy,,Middleweight
mark-godbeer,,England,11/22/1983 (35),"6' 4"", 240 lbs",The Hand Of,"77.5""",Orthodox,Scottish Hit Squad,,
brett-johns,,Wales,2/21/1992 (27),"5' 7"", 135 lbs",The Pikey,"71""",Orthodox,Chris Rees Academy,,Bantamweight
kwan-ho-kwak,,Korea,6/18/1989 (30),"5' 5"", 135 lbs",,"70""",Switch,Korean Top Team,,Bantamweight
abdul-razak-alhassan,,Ghana,8/11/1985 (34),"5' 10"", 170 lbs",Judo Thunder,"73""",Orthodox,Fortis MMA,,Welterweight
charlie-ward,,Ireland,12/17/1980 (38),"5' 11"", 185 lbs",,"73.5""",Orthodox,SBG Ireland,,Welterweight
gadzhimurad-antigulov,,Russia,2/9/1987 (32),"5' 11"", 205 lbs",,"70.5""",Orthodox,American Top Team,,Light Heavyweight
darren-stewart,,England,12/30/1990 (28),"6' 0"", 185 lbs",The Dentist,"74""",Orthodox,The MMA Clinic,,Middleweight
yusuke-kasuya,,Japan,11/16/1989 (29),"5' 7"", 155 lbs",,"67""",Southpaw,,,Lightweight
alexander-volkanovski,,Australia,9/29/1988 (31),"5' 6"", 145 lbs",The Great,"71.5""",Orthodox,City Kickboxing,,Featherweight
tyson-pedro,,Australia,9/17/1991 (28),"6' 3"", 205 lbs",,"79""",Orthodox,Lions High Performance Centre,,Light Heavyweight
jenel-lausa,,Philippines,8/1/1988 (31),"5' 5"", 125 lbs",The Demolition Man,"68.5""",Orthodox,Team Capanay,,Flyweight
ryan-hall,,USA,2/22/1985 (34),"5' 10"", 145 lbs",The Wizard,"70.5""",,TriStar Gym,,Lightweight
matt-schnell,,USA,1/15/1990 (29),"5' 8"", 125 lbs",Danger,"70""",Orthodox,American Top Team,,Bantamweight
jamie-moyle,,USA,3/17/1989 (30),"5' 1"", 115 lbs",,"65""",Orthodox,Syndicate MMA,,Women's Strawweight
saparbeg-safarov,,Russia,10/14/1986 (33),"6' 1"", 205 lbs",,"78""",Orthodox,Legion Fight Team,,Light Heavyweight
ashley-yoder,,USA,10/20/1987 (32),"5' 7"", 115 lbs",Spider Monkey,"69.5""",Southpaw,Team Quest -Portland,,Women's Strawweight
brian-camozzi,,USA,6/24/1991 (28),"6' 2"", 170 lbs",Mantis,"78""",Orthodox,FactoryX Muay Thai,,Welterweight
gerald-meerschaert,,USA,12/18/1987 (31),"6' 1"", 185 lbs",GM3,"77.5""",Southpaw,Roufusport,,Middleweight
shane-burgos,,USA,3/19/1991 (28),"5' 11"", 145 lbs",Hurricane,"75.5""",Orthodox,Team Tiger Schulman,,Featherweight
ryan-janes,,Canada,8/22/1981 (38),"6' 2"", 185 lbs",,"76.5""",Orthodox,Zugec Ultimate Martial Arts,,
jj-aldrich,,USA,9/29/1992 (27),"5' 5"", 125 lbs",,"67.5""",Southpaw,Freedom Fighters,,Women's Flyweight
emil-meek,,Norway,8/20/1988 (31),"5' 11"", 170 lbs",Valhalla,"74.5""",Switch,Frontline Academy,,Welterweight
viviane-pereira,,Brazil,8/28/1993 (26),"5' 0"", 105 lbs",Sucuri,"63""",Orthodox,Dragon Kombat,,Women's Strawweight
paul-craig,,Scotland,11/27/1987 (31),"6' 3"", 205 lbs",BearJew,"76""",Orthodox,Scottish Hit Squad,,Light Heavyweight
irene-aldana,,Mexico,3/26/1988 (31),"5' 9"", 135 lbs",,"68.5""",Orthodox,Lobo Gym MMA,,Women's Bantamweight
niko-price,,USA,9/29/1989 (30),"6' 0"", 170 lbs",The Hybrid,"76""",Orthodox,American Top Team Cape Coral,,Welterweight
devin-powell,,USA,3/1/1988 (31),"6' 0"", 155 lbs",,"73""",Orthodox,Nostos MMA,,Lightweight
drakkar-klose,,USA,3/9/1988 (31),"5' 9"", 155 lbs",,"70""",Orthodox,Fight Ready,,Lightweight
bobby-nash,,USA,3/26/1990 (29),"6' 0"", 170 lbs",,"74""",Orthodox,,,Welterweight
jordan-johnson,,USA,11/18/1988 (30),"6' 1"", 205 lbs",Big Swingin,"79""",Orthodox,MMA LAB,,Light Heavyweight
jeremy-kimball,,USA,1/3/1991 (28),"6' 0"", 205 lbs",Grizzly,"72""",Switch,Team Wildman Vale Tudo,,
alexandre-pantoja,,Brazil,4/16/1990 (29),"5' 5"", 125 lbs",The Cannibal,"67.5""",Orthodox,Nova Uniao,,Flyweight
eric-shelton,,USA,2/2/1991 (28),"5' 6"", 125 lbs",Showtime,"68""",Orthodox,Rodrigo Pinheiro BJJ,,Flyweight
volkan-oezdemir,,Switzerland,9/19/1989 (30),"6' 2"", 205 lbs",No Time,"75""",Orthodox,Hard Knocks 365,,Light Heavyweight
marcel-fortuna,,Brazil,10/22/1985 (33),"6' 1"", 185 lbs",Maozinha,"74""",Orthodox,AKA (American Kickboxing Academy),,Light Heavyweight
chris-gruetzemacher,,USA,6/16/1986 (33),"5' 8"", 155 lbs",Gritz,"68""",Orthodox,2 Knuckle Sports MMA Academy,,Lightweight
ricardo-ramos,,Brazil,8/1/1995 (24),"5' 9"", 135 lbs",,"69""",Orthodox,Black Sheep MMA,,Bantamweight
gavin-tucker,,Canada,6/17/1986 (33),"5' 6"", 145 lbs",Guv'Nor,"66""",Southpaw,Titans MMA,,Featherweight
gina-mazany,,USA,8/19/1988 (31),"5' 6"", 135 lbs",Danger,"68.5""",Southpaw,Xtreme Couture,,Women's Bantamweight
aiemann-zahabi,,Canada,11/19/1987 (31),"5' 8"", 135 lbs",,"68.5""",Orthodox,TriStar Gym,,Bantamweight
cynthia-calvillo,,USA,7/13/1987 (32),"5' 4"", 115 lbs",,"64""",Orthodox,Team Alpha Male,,Women's Strawweight
daniel-spitz,,USA,7/31/1990 (29),"6' 7"", 245 lbs",Daddy Long Legs,"82""",Orthodox,Sikjitsu,,Heavyweight
andre-soukhamthath,,USA,10/23/1988 (30),"5' 9"", 135 lbs",The Asian Sensation,"70""",Orthodox,Hard Knocks 365,,Bantamweight
davi-ramos,,Brazil,11/5/1986 (32),"5' 6"", 155 lbs",Tasmanian Devil,"70""",Orthodox,Team Nogueira,,Lightweight
paulo-costa,,Brazil,4/21/1991 (28),"6' 1"", 185 lbs",The Eraser,"72""",Orthodox,Champion Team,,Middleweight
lucie-pudilova,,Czech Republic,6/13/1994 (25),"5' 8"", 125 lbs",Bullet,"67.5""",Orthodox,KBC Pribram-MMA,,Women's Flyweight
pearl-gonzalez,,USA,8/12/1986 (33),"5' 4"", 125 lbs",,"68""",Orthodox,,,Women's Strawweight
desmond-green,,USA,10/11/1989 (30),"5' 10"", 155 lbs",The Predator,"73""",Southpaw,Hard Knocks 365,,Lightweight
magomed-bibulatov,,Russia,8/22/1988 (31),"5' 5"", 125 lbs",Chaborz,"65.5""",Orthodox,Akhmat Fight Team,,Flyweight
tom-duquesnoy,,France,6/21/1993 (26),"5' 7"", 135 lbs",Fire Kid,"68""",Orthodox,Jackson-Wink MMA,,Bantamweight
cindy-dandois,,Belgium,10/26/1984 (34),"5' 7"", 145 lbs",Battlecat,"68.5""",Orthodox,Perfect Team,,Women's Bantamweight
rashad-coulter,,USA,11/27/1981 (37),"6' 0"", 205 lbs",Daywalker,"76""",Orthodox,Fortis MMA,,Light Heavyweight
oliver-enkamp,,Sweden,10/8/1991 (28),"6' 0"", 170 lbs",The Future,"77""",Switch,Pancrase Gym Sweden,,Welterweight
marlon-moraes,,Brazil,4/26/1988 (31),"5' 6"", 135 lbs",Magic,"67""",Orthodox,Ricardo Almeida Jiu-Jitsu,,Bantamweight
brian-kelleher,,USA,8/19/1986 (33),"5' 6"", 135 lbs",Boom,"66""",Switch,Maxum BJJ,,Bantamweight
deiveson-figueiredo,,Brazil,12/18/1987 (31),"5' 5"", 125 lbs",Deus da Guerra,"68""",Orthodox,Marajo Brothers Team,,Flyweight
luke-jumeau,,New Zealand,2/12/1988 (31),"5' 11"", 170 lbs",The Jedi,"72""",Orthodox,Phuket Top Team,,Welterweight
ashkan-mokhtarian,,Iran,9/15/1985 (34),"5' 6"", 125 lbs",The Assassin,"67""",Southpaw,Australian Top Team,,Flyweight
chanmi-jeon,,Korea,8/28/1997 (22),"5' 5"", 115 lbs",Ottogi Girl,"67""",Orthodox,Kukje Gym,,Women's Strawweight
rolando-dy,,Philippines,8/11/1991 (28),"5' 9"", 145 lbs",Dy Incredible,"69.5""",Orthodox,Biagtian Muay Thai,,Featherweight
frank-camacho,,Guam,5/18/1989 (30),"5' 10"", 155 lbs",The Crank,"73""",Orthodox,Trench Tech,,Welterweight
carls-john-de-tomas,,Philippines,8/28/1996 (23),"5' 7"", 135 lbs",Golden Boy,"71.5""",Southpaw,De Tomas MMA,,Flyweight
naoki-inoue,,Japan,6/14/1997 (22),"5' 8"", 125 lbs",,"71""",Orthodox,Hakushinkai Karate,,Flyweight
ji-yeon-kim,,Korea,10/18/1989 (30),"5' 7"", 125 lbs",Firefist,"72""",Orthodox,MOB Training Center,,Women's Flyweight
dominick-reyes,,USA,12/26/1989 (29),"6' 4"", 205 lbs",The Devastator,"77""",Southpaw,Cage Combat Academy,,Light Heavyweight
michel-quinones,,USA,12/22/1984 (34),"5' 10"", 155 lbs",El Capo,"73""",Orthodox,American Top Team Wolfpack,,Lightweight
jared-gordon,,USA,9/6/1988 (31),"5' 9"", 155 lbs",Flash,"68""",Orthodox,Roufusport,,Lightweight
justin-gaethje,,USA,11/14/1988 (30),"5' 11"", 155 lbs",The Highlight,"70""",Orthodox,Elevation Fight Team,,Lightweight
nick-roehrick,,,,,,,,,,
tom-gallicchio,,USA,9/23/1986 (33),"5' 10"", 170 lbs",,"73""",Southpaw,Team Quest -Portland,,Welterweight
terrion-ware,,USA,3/31/1986 (33),"5' 8"", 135 lbs",Flash,"71""",Orthodox,,,Bantamweight
cody-stamann,,USA,11/9/1989 (29),"5' 6"", 135 lbs",Spartan,"64.5""",Orthodox,Michigan Top Team,,Bantamweight
trevin-giles,,USA,8/6/1992 (27),"6' 0"", 185 lbs",The Problem,"74""",Orthodox,Texas Elite MMA,,Middleweight
james-bochnovic,,USA,2/13/1989 (30),"6' 4"", 185 lbs",,"81""",Orthodox,Rothwell MMA,,Middleweight
matt-bessette,,USA,12/28/1984 (34),"5' 10"", 145 lbs",The Mangler,"70.5""",Orthodox,Underdog BJJ,,Featherweight
azunna-anyanwu,,USA,8/5/1981 (38),"6' 1"", 250 lbs",8th Wonder,"77""",Orthodox,Renzo Gracie Philly,,Heavyweight
greg-rebello,,USA,6/13/1982 (37),"6' 0"", 265 lbs",,,Southpaw,,,Heavyweight
boston-salmon,,USA,11/20/1990 (28),"5' 9"", 135 lbs",Boom Boom,"69""",Southpaw,Xtreme Couture,,Bantamweight
ricky-turcios,,USA,6/5/1993 (26),"5' 8"", 135 lbs",,"71""",Orthodox,,,Bantamweight
charles-byrd,,USA,10/11/1983 (36),"5' 10"", 185 lbs",Kid Dynamite,"73""",Orthodox,Fortis MMA,,Middleweight
jamie-pickett,,USA,8/29/1988 (31),"6' 2"", 185 lbs",,"80""",Orthodox,,,Middleweight
manny-vazquez,,USA,11/19/1993 (25),"5' 10"", 135 lbs",,"72""",Orthodox,,,Flyweight
justin-willis,,USA,7/19/1987 (32),"6' 1"", 266 lbs",Big Pretty,"78""",Southpaw,AKA (American Kickboxing Academy),,Heavyweight
james-mulheron,,England,2/20/1988 (31),"5' 10"", 250 lbs",Juggernaut,"73""",Orthodox,,,Heavyweight
galore-bofando,,England,5/22/1982 (37),"5' 11"", 170 lbs",,"72""",Switch,,,Welterweight
danny-henry,,Scotland,7/17/1988 (31),"6' 0"", 145 lbs",The Hatchet,"73""",Orthodox,Higher Level Martial Arts,,Featherweight
daniel-teymur,,Sweden,2/3/1988 (31),"5' 5"", 145 lbs",Kid Dynamite,"69""",Orthodox,Allstars Training Center,,Featherweight
amanda-lemos,,Brazil,5/22/1987 (32),"5' 4"", 135 lbs",Amandinha,"65""",Southpaw,Marajo Brothers Team,,Women's Bantamweight
angel-de-anda,,USA,5/28/1985 (34),"5' 8"", 205 lbs",The Dream,,Orthodox,Last Stand Fight Team,,Heavyweight
sean-omalley,,USA,10/24/1994 (24),"5' 11"", 135 lbs",Sugar,"72""",Switch,MMA LAB,,Bantamweight
alfred-khashakyan,,USA,7/17/1988 (31),"5' 8"", 135 lbs",,"70""",Orthodox,,,Bantamweight
thanh-le,,USA,8/28/1985 (34),"5' 9"", 145 lbs",,"74.5""",Orthodox,,,Featherweight
lazar-stojadinovic,,,,"5' 7"", 145 lbs",,"68""",Southpaw,,,Featherweight
sidney-outlaw,,USA,4/11/1992 (27),"5' 8"", 155 lbs",,"74""",Orthodox,,,Welterweight
michael-cora,,USA,8/24/1989 (30),,,"77""",Southpaw,,155 lbs,Welterweight
cj-hamilton,,USA,10/7/1986 (33),"5' 7"", 125 lbs",The Autobot,"68""",Switch,Contemporary Martial Arts,,Flyweight
casey-kenney,,USA,3/20/1991 (28),"5' 7"", 135 lbs",,"68""",Southpaw,Rise Combat Sports,,Bantamweight
eryk-anders,,USA,4/21/1987 (32),"6' 1"", 185 lbs",Ya Boi,"75""",Southpaw,Fortis MMA,,Light Heavyweight
junior-albini,,Brazil,3/15/1991 (28),"6' 3"", 265 lbs",Baby,"74""",Orthodox,American Top Team,,Heavyweight
ryan-spann,,USA,8/24/1991 (28),"6' 5"", 205 lbs",Superman,"79""",Orthodox,Fortis MMA,,Light Heavyweight
karl-roberson,,USA,10/4/1990 (29),"6' 1"", 185 lbs",Baby K,"74""",Southpaw,Killer B Combat Sports Academy,,Light Heavyweight
kyle-stewart,,USA,1/31/1989 (30),"6' 0"", 170 lbs",Gunz Up,"76.5""",Orthodox,Arizona Combat Sports,,Welterweight
jason-jackson,,USA,10/30/1990 (28),"6' 1"", 170 lbs",,"78""",Orthodox,Hard Knocks 365,,Welterweight
geoff-neal,,USA,8/28/1990 (29),"5' 11"", 170 lbs",Handz of Steel,"75""",Southpaw,Fortis MMA,,Welterweight
chase-waldon,,USA,,"6' 2"", 185 lbs",,"75""",Orthodox,,,Middleweight
alonzo-menifield,,USA,10/18/1987 (32),"6' 0"", 205 lbs",,"76""",Orthodox,Fortis MMA,,Light Heavyweight
dan-ige,,USA,8/6/1991 (28),"5' 7"", 145 lbs",Dynamite,"71""",Orthodox,Xtreme Couture,,Featherweight
luis-gomez,,USA,1/28/1995 (24),"5' 7"", 145 lbs",,"68""",Orthodox,American Top Team,,Featherweight
tonya-evinger,,USA,6/4/1981 (38),"5' 7"", 135 lbs",Triple Threat,"70""",Orthodox,Team Quest -Portland,,Women's Featherweight
calvin-kattar,,USA,3/26/1988 (31),"5' 11"", 145 lbs",The Boston Finisher,"72""",Orthodox,Carlos Neto BJJ,,Featherweight
jarred-brooks,,USA,5/2/1993 (26),"5' 3"", 125 lbs",The Monkey God,"62""",Switch,Mash Fight Team,,Flyweight
phil-hawes,,USA,1/8/1989 (30),"6' 0"", 185 lbs",,"70""",Orthodox,TriStar Gym,,Middleweight
julian-marquez,,USA,5/8/1980 (39),"6' 2"", 185 lbs",The Cuban Missile Crisis,"75""",Orthodox,Syndicate MMA,,Middleweight
james-gray,,USA,10/25/1987 (31),"5' 9"", 135 lbs",,,Orthodox,,,Bantamweight
kyler-phillips,,USA,6/12/1995 (24),"5' 8"", 135 lbs",,,Orthodox,MMA LAB,,Bantamweight
ronaldo-candido-de-oliveira,,Brazil,4/24/1989 (30),"5' 6"", 125 lbs",Pac-Man,,Southpaw,Nova Uniao,,Flyweight
carlos-candelario,,USA,,"5' 7"", 125 lbs",,"67""",Southpaw,Underdog BJJ,,Flyweight
austin-arnett,,USA,10/22/1991 (27),"6' 0"", 145 lbs",Golden Boy,"72""",Orthodox,Sikjitsu,,Featherweight
brandon-davis,,USA,5/8/1990 (29),"5' 10"", 145 lbs",Killer B,"72""",Orthodox,Alan Belcher MMA Club,,Bantamweight
john-castaneda,,USA,12/18/1991 (27),"5' 7"", 135 lbs",Sexi Mexi,"70""",Switch,The Academy,,Bantamweight
cheyden-leialoha,,USA,3/15/1994 (25),"5' 8"", 135 lbs",,"73""",Orthodox,,,Bantamweight
humberto-bandenay,,Peru,9/4/1994 (25),"5' 11"", 145 lbs",,"71.5""",Southpaw,Pro Fighting Peru,,Featherweight
roberto-sanchez,,USA,3/5/1986 (33),"5' 6"", 125 lbs",Little Fury,"66.5""",Orthodox,Gracie Barra Katy,,Flyweight
joseph-morales,,USA,8/22/1994 (25),"5' 6"", 125 lbs",Bopo,"69""",Switch,Team Alpha Male,,Flyweight
jamelle-jones,,USA,1/31/1988 (31),"6' 0"", 205 lbs",,"75""",Orthodox,,,Light Heavyweight
mike-rodriguez,,USA,11/28/1988 (30),"6' 4"", 205 lbs",Slow,"82.5""",Southpaw,Lauzon MMA,,Light Heavyweight
peter-petties,,USA,12/20/1990 (28),"5' 11"", 145 lbs",The Joker,"72""",Southpaw,Team Lloyd Irvin,,Featherweight
julio-arce,,USA,10/27/1989 (29),"5' 7"", 145 lbs",,"70""",Southpaw,Team Tiger Schulman,,Featherweight
kevin-gray,,,,,,,,,,
alex-perez,,USA,3/21/1992 (27),"5' 6"", 125 lbs",,"65""",Orthodox,Team Oyama,,Bantamweight
donavon-frelow,,USA,,"5' 6"", 135 lbs",,,Orthodox,Wand Fight Team,,Bantamweight
ricky-simon,,USA,8/31/1992 (27),"5' 6"", 135 lbs",,"69""",Orthodox,American Top Team Portland,,Bantamweight
shelton-graves,,USA,10/23/1985 (33),"6' 2"", 265 lbs",,"76""",Southpaw,,,Heavyweight
everett-sims,,USA,9/4/1988 (31),"6' 0"", 260 lbs",,"77.5""",Southpaw,,,Heavyweight
randall-wallace,,USA,3/1/1989 (30),"5' 11"", 185 lbs",Buddy,"73""",Orthodox,Last Stand Fight Team,,Middleweight
adrian-diaz,,USA,4/26/1988 (31),"5' 10"", 145 lbs",,,Southpaw,Team Alpha Male,,Featherweight
grant-dawson,,USA,2/20/1994 (25),"5' 10"", 145 lbs",KGD,"72""",Switch,Glory MMA & Fitness,,Featherweight
cameron-olson,,USA,11/22/1989 (29),"6' 1"", 205 lbs",,,Orthodox,,,
karl-reed,,USA,,"6' 5"", 205 lbs",,"78""",Orthodox,,,Light Heavyweight
martin-day,,USA,11/10/1988 (30),"5' 10"", 135 lbs",The Spartan,"73.5""",Orthodox,Hawaii Elite MMA,,Bantamweight
jaime-alvarez,,,,,,"69""",Orthodox,,,Flyweight
jamie-colleen,,USA,,"5' 2"", 115 lbs",,"65""",Orthodox,Renzo Gracie Jiu-Jitsu,,Women's Strawweight
tiffany-masters,,USA,,"5' 2"", 115 lbs",,"65""",Orthodox,,,Women's Strawweight
anton-berzin,,USA,9/29/1989 (30),"6' 2"", 205 lbs",,,Orthodox,,,Light Heavyweight
kennedy-nzechukwu,,Nigeria,6/13/1992 (27),"6' 5"", 205 lbs",African Savage,"83""",Southpaw,Fortis MMA,,Light Heavyweight
steven-peterson,,USA,5/29/1990 (29),"5' 10"", 145 lbs",Ocho,"70""",Orthodox,Fortis MMA,,Featherweight
benito-lopez,,USA,4/6/1994 (25),"5' 10"", 135 lbs",Golden Boy,"73""",Switch,Team Alpha Male,,Bantamweight
jp-buys,,South Africa,,"5' 6"", 125 lbs",,"66""",Orthodox,,,Flyweight
mark-cherico,,USA,,"5' 8"", 155 lbs",,"69.5""",Orthodox,,,Featherweight
mike-santiago,,USA,7/28/1989 (30),"5' 10"", 145 lbs",Little Bully,"69""",Orthodox,Top Notch Fitness,,Featherweight
nick-urso,,USA,9/26/1985 (34),"5' 6"", 125 lbs",,"66.5""",Southpaw,Jackson-Wink MMA,,Flyweight
jordan-espinosa,,USA,11/8/1989 (29),"5' 6"", 125 lbs",,"69.5""",Orthodox,Luttrell-Yee MMA,,Flyweight
matt-frevola,,USA,6/11/1990 (29),"5' 9"", 155 lbs",The SteamRolla,"71""",Orthodox,Serra-Longo Fight Team,,Lightweight
jose-flores,,,3/17/1988 (31),"6' 1"", 170 lbs",,,Southpaw,,,Lightweight
bevon-lewis,,USA,5/5/1991 (28),"6' 3"", 185 lbs",The Extraordinary Gentleman,"79""",Orthodox,Jackson-Wink MMA,,Middleweight
elias-urbina,,USA,10/9/1993 (26),"6' 3"", 185 lbs",,"77""",Southpaw,,,Light Heavyweight
adam-antolin,,,,,,,,,,
lauren-mueller,,USA,11/15/1991 (27),"5' 5"", 125 lbs",Princess Tiger,"67""",Orthodox,Alliance MMA,,Women's Flyweight
kelly-velasco,,USA,,"5' 9"", 135 lbs",,,Orthodox,,,Women's Bantamweight
dontale-mayes,,USA,1/16/1992 (27),"6' 6"", 260 lbs",Kong,"81""",Orthodox,,,Heavyweight
allen-crowder,,USA,11/8/1989 (29),"6' 3"", 255 lbs",Pretty Boy,"76.5""",Orthodox,Team Rubao Carioca BJJ,,Heavyweight
rob-wilkinson,,Australia,2/22/1992 (27),"6' 2"", 185 lbs",Razor,"80""",Orthodox,Hybrid Training Centre,,Middleweight
talita-bernardo,,Brazil,3/4/1987 (32),"5' 4"", 135 lbs",,"68""",Orthodox,Imperio Fight,,Women's Bantamweight
mads-burnell,,Denmark,3/6/1994 (25),"5' 8"", 145 lbs",,"69""",Orthodox,Arte Suave Copenhagen,,Featherweight
aleksandar-rakic,,Austria,2/6/1992 (27),"6' 4"", 205 lbs",,"78""",Orthodox,Gym 23,,Light Heavyweight
zabit-magomedsharipov,,Russia,3/1/1991 (28),"6' 1"", 145 lbs",,"73""",Orthodox,Ricardo Almeida Jiu-Jitsu,,Featherweight
abdul-kerim-edilov,,Russia,11/25/1991 (27),"6' 3"", 205 lbs",,"78""",Orthodox,Akhmat Fight Team,,Light Heavyweight
arjan-bhullar,,Canada,5/13/1986 (33),"6' 1"", 240 lbs",,"76""",Orthodox,Ryan's MMA - Checkmat Vancouver,,Heavyweight
alex-reyes,,USA,10/2/1986 (33),"5' 11"", 170 lbs",The Executioner,"73""",Orthodox,Cage Combat Academy,,Welterweight
gokhan-saki,,Turkey,10/19/1983 (36),"6' 0"", 205 lbs",The Rebel,"73""",Orthodox,Mike's Gym,,Light Heavyweight
syuri-kondo,,Japan,2/8/1989 (30),"5' 4"", 115 lbs",,"66.5""",Orthodox,Vos Gym,,Women's Strawweight
daichi-abe,,Japan,11/27/1991 (27),"5' 11"", 170 lbs",,"71""",Orthodox,HMC,,Welterweight
kalindra-faria,,Brazil,7/23/1986 (33),"5' 7"", 125 lbs",,,Switch,Macaco Gold Team,,
mara-romero-borella,,Italy,6/3/1986 (33),"5' 6"", 125 lbs",Kunoichici,"69""",Orthodox,American Top Team,,Women's Flyweight
poliana-botelho,,Brazil,12/15/1988 (30),"5' 8"", 125 lbs",,"67""",Orthodox,Nova Uniao,,Women's Flyweight
jodie-esquibel,,USA,5/7/1986 (33),"5' 1"", 115 lbs",,"64""",Orthodox,Jackson-Wink MMA,,Women's Strawweight
oskar-piechota,,Poland,1/24/1990 (29),"6' 0"", 185 lbs",Imadlo,"76""",Southpaw,Piranha Grappling Team,,Middleweight
nasrat-haqparast,,Afghanistan,8/22/1995 (24),"5' 10"", 155 lbs",,"72""",Southpaw,TriStar Gym,,Lightweight
ramazan-emeev,,Azerbaijan,5/23/1987 (32),"5' 10"", 170 lbs",Gorets,"76""",Southpaw,Gorec,,Middleweight
salim-touahri,,Poland,9/28/1989 (30),"5' 10"", 170 lbs",Grizzly,"72""",Orthodox,Grappling Krakow,,Welterweight
aspen-ladd,,USA,3/1/1995 (24),"5' 6"", 135 lbs",,"66""",Orthodox,MMAGold Fight Team,,Women's Bantamweight
marcelo-golm,,Brazil,9/15/1992 (27),"6' 3"", 249 lbs",,"75.5""",Orthodox,Corinthians MMA,,Heavyweight
jessica-rose-clark,,,,,,,,,,
shane-young,,New Zealand,7/31/1993 (26),"5' 8"", 145 lbs",Sugar,"72.5""",Orthodox,City Kickboxing,,Featherweight
tai-tuivasa,,Australia,3/16/1993 (26),"6' 2"", 264 lbs",Bam Bam,"75""",Southpaw,Lions High Performance Centre,,Heavyweight
